SegmentofCity,SP,HS,NOBED,NOBAT,GarageSize
Northwest,290,21,4,2,2
South,95,11,2,1,0
Northeast,170,19,3,2,2
Northwest,375,38,5,4,3
West,350,24,4,3,2
South,125,10,2,2,0
West,310,31,4,4,2
West,275,25,3,2,2
Northwest,340,27,5,3,3
Northeast,215,22,4,3,2
Northwest,295,20,4,3,2
South,190,24,4,3,2
Northwest,385,36,5,4,3
West,430,32,5,4,2
South,185,14,3,2,1
South,175,18,4,2,2
Northeast,190,19,4,2,2
Northwest,330,29,4,4,3
West,405,33,5,4,3
Northeast,170,23,4,2,2
West,365,34,5,4,3
Northwest,280,25,4,2,2
South,135,17,3,1,1
Northeast,205,21,4,3,2
West,260,26,4,3,2
